"region";"spp_name";"latin_name";"rfmo";"rfmo_stock_id";"x3a_code";"worms_aphia_id";"fides_area";"area";"area_bis";"tac_area_description";"comments";"latin_name_join"
"100";"North Sea and Eastern Arctic";"All skates and rays";"Rajidae";"ICES";NA;"SRX";"105711";"03A-C";"3a";"27_3_A";"to be coded as all other rays in the script";"FIDES code for area 3a-c";"Rajidae"
"101";"North Sea and Eastern Arctic";"All skates and rays";"Rajidae";"ICES";NA;"SRX";"105711";"2AC4-C";"2a, 4";"27_2_A,27_4";"to be coded as all other rays in the script";"Extra row and FIDES code stands for rays not elsewhere reported";"Rajidae"
"102";"North Sea and Eastern Arctic";"All skates and rays";"Rajidae";"ICES";NA;"SRX";"105711";"07D.";"7d";"27_7_D";"to be coded as all other rays in the script";"Extra row and FIDES code stands for rays not elsewhere reported";"Rajidae"
"103";"North Sea and Eastern Arctic";"Greenland halibut";"Reinhardtius hippoglossoides";"ICES";NA;"GHL";"127144";"2A-C46";"4";"27_4";"EU waters of IIa and IV,   EU and international waters of Vb and VI";"FIDES match but difference with area";"Reinhardtius hippoglossoides"
"104";"North Sea and Eastern Arctic";"Salmon";"Salmo salar";"ICES";NA;"SAL";"127186";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"Salmo salar"
"105";"North Sea and Eastern Arctic";"Sea trout";"Salmo trutta";"ICES";NA;"TRS";"127187";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"Salmo trutta"
"106";"North Sea and Eastern Arctic";"Mackerel";"Scomber scombrus";"ICES";NA;"MAC";"127023";"2A34.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"IVa) (1), IVb) (1),IVc) (1)";"FIDES match but difference with area";"Scomber scombrus"
"107";"North Sea and Eastern Arctic";"Brill";"Scophthalmus rhombus";"ICES";NA;"BLL";"127150";"2AC4-C";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"EC waters of IIa) and IV";"FIDES match but difference with area";"Scophthalmus rhombus"
"108";"North Sea and Eastern Arctic";"Lesser-spotted dogfish";"Scyliorhinus canicula";"ICES";NA;"SYC";"105814";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";"Scyliorhinus canicula"
"109";"North Sea and Eastern Arctic";"Sole";"Solea solea";"ICES";NA;"SOL";"127160";"3ABC24,24-C.";"Union waters of 2a, 3a and 4";"27_2_A,27_3_A,27_4";"";"FIDES match";"Solea solea"
"110";"North Sea and Eastern Arctic";"Sole";"Solea solea";"ICES";NA;"SOL";"127160";"07D.";"7d";"27_7_D";"";"FIDES match";"Solea solea"
"111";"North Sea and Eastern Arctic";"Sprat";"Sprattus sprattus";"ICES";NA;"SPR";"126425";"03A.,2AC4-C";"Union waters of 2a, 3a and 4";"27_2_A,27_3_A,27_4";"IIIa)";"FIDES match";"Sprattus sprattus"
