"region";"spp_name";"latin_name";"rfmo";"rfmo_stock_id";"x3a_code";"fides_area";"area";"area_bis";"tac_area_description";"comments";"X";"X.1";"area_rdb"
"46";"North Sea and Eastern Arctic";"Sand eel";"Ammodytidae";"ICES";NA;"SAN";"2A3A4.";"3a, 4";"27_3_A,27_4";"IIIa,   EC waters of IIa and IV";"FIDES match";NA;NA;"27.3.a,27.3.a.20,27.3.a.2127.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w"
"47";"North Sea and Eastern Arctic";"Catfish";"Anarhichas spp";"ICES";NA;"CAT";"No TAC";"4";"27_4";"";"";NA;NA;"27.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w"
"48";"North Sea and Eastern Arctic";"European Eel";"Anguilla anguilla";"ICES";NA;"ELE";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";NA;NA;"27.3.a,27.3.a.20,27.3.a.2127.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w27.7.d"
"49";"North Sea and Eastern Arctic";"Greater silver smelt";"Argentina silus";"ICES";NA;"ARU";"3A4-C";"3a, 4";"27_3_A,27_4";"";"FIDES match";NA;NA;"27.3.a,27.3.a.20,27.3.a.2127.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w"
"50";"North Sea and Eastern Arctic";"Argentine";"Argentina spp";"ICES";NA;"ARU";"No TAC";"4";"27_4";"";"";NA;NA;"27.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w"
"51";"North Sea and Eastern Arctic";"Red gurnard";"Aspitrigla cuculus";"ICES";NA;"GUR";"No TAC";"3a";"27_3_A";"";"";NA;NA;"27.3.a,27.3.a.20,27.3.a.21"
"52";"North Sea and Eastern Arctic";"Tusk";"Brosme brosme";"ICES";NA;"USK";"03A.,04-C.,04-N.";"3a, 4";"27_3_A,27_4";"EU waters of IV";"FIDES match";NA;NA;"27.3.a,27.3.a.20,27.3.a.2127.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w"
"53";"North Sea and Eastern Arctic";"Herring";"Clupea harengus";"ICES";NA;"HER";"03A.,03A-BC,2A47DX,4AB.,4CXB7D";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"FIDES match";NA;NA;"27.3.a,27.3.a.20,27.3.a.2127.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w27.7.d"
"54";"North Sea and Eastern Arctic";"Roundnose grenadier";"Coryphaenoides rupestris";"ICES";NA;"RNG";"03-";"3a";"27_3_A";"EU and international waters of III";"FIDES match";NA;NA;"27.3.a,27.3.a.20,27.3.a.21"
"55";"North Sea and Eastern Arctic";"Common Shrimp";"Crangon crangon";"ICES";NA;"CSH";"No TAC";"4, 7d";"27_4,27_7_D";"";"";NA;NA;"27.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w27.7.d"
"56";"North Sea and Eastern Arctic";"Sea bass";"Dicentrarchus labrax";"ICES";NA;"BSS";"No TAC";"4, 7d";"27_4,27_7_D";"";"";NA;NA;"27.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w27.7.d"
"57";"North Sea and Eastern Arctic";"Grey gurnard";"Eutrigla gurnardus";"ICES";NA;"GUG";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"";"";NA;NA;"27.3.a,27.3.a.20,27.3.a.2127.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w27.7.d"
"58";"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD";"03AN.";"3aN";"27_3_A-4_AB_NK";"Skagerrak (Division IIIa)";"FIDES match ";NA;NA;"27_3_A-4_AB_NK"
"59";"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD";"03AS.";"3aS";"27_3_A";"Kattegat (Division IIIa)";"FIDES match";NA;NA;"27.3.a,27.3.a.20,27.3.a.21"
"60";"North Sea and Eastern Arctic";"Cod";"Gadus morhua";"ICES";NA;"COD";"2A3AX4,07D.";"4, 7d";"27_4,27_7_D";"IV,   EC waters of Iia,   that part of IIIa not covered by the Skagerrak and the Kattegat, ICES division VIId - Eastern Channel";"FIDES match";NA;NA;"27.4,27.4.a,27.4.b,27.4.c,27.4.a.w,27.4.a.e,27.4.b.e,27.4.b.w27.7.d"
