"region";"spp_name";"latin_name";"rfmo";"rfmo_stock_id";"x3a_code";"fides_area";"area";"area_bis";"tac_area_description";"comments";;
"North Sea and Eastern Arctic";"Roughhead grenadier";"Macrourus berglax";"ICES";;"RHG";"No TAC";4;"27_4";"EU and international waters of I-II and IV";;;
"North Sea and Eastern Arctic";"Haddock";"Melanogrammus aeglefinus";"ICES";;"HAD";"03A.,2AC4.";"3a, 4";"27_3_A,27_4";"IIIa) and EU waters of IIIbcd";"FIDES match (area <)";;
"North Sea and Eastern Arctic";"Whiting";"Merlangius merlangus";"ICES";;"WHG";"03A.,2AC4.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";;"FIDES match (area <)";;
"North Sea and Eastern Arctic";"Hake";"Merluccius merluccius";"ICES";;"HKE";"03A.,2AC4.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"EC waters of IIa) and IV";"FIDES match (area <)";;
"North Sea and Eastern Arctic";"Blue whiting";"Micromesistius poutassou";"ICES";;"WHB";"1X14";"3a, 4, 7d";"27_3_A,27_4,27_7_D";;"FIDES match (area <)";;
"North Sea and Eastern Arctic";"Lemon sole";"Microstomus kitt";"ICES";;"LEM,L/W";"2AC4-C";"4, 7d";"27_4,27_7_D";;"FIDES code stands for both Microstomus kitt and Glyptocephalus cynoglossus";;
"North Sea and Eastern Arctic";"Blue ling";"Molva dypterygia";"ICES";;"BLI";"03A-,24-";"3a, 4";"27_3_A,27_4";"EU and international waters of II and IV";"FIDES match but difference with area";;
"North Sea and Eastern Arctic";"Ling";"Molva molva";"ICES";;"LIN";"03A-C.,04-C.,04-N.";"3a, 4";"27_3_A,27_4";"EU waters of IV";"FIDES match";;
"North Sea and Eastern Arctic";"Red mullet";"Mullus barbatus";"ICES";;"MUT";"No TAC";"4, 7d";"27_4,27_7_D";;;;
"North Sea and Eastern Arctic";"Striped red mullet";"Mullus surmuletus";"ICES";;"MUR";"No TAC";"4, 7d";"27_4,27_7_D";;;;
"North Sea and Eastern Arctic";"Smooth-hound";"Mustelus spp.";"ICES";;"SKH";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";;;;
"North Sea and Eastern Arctic";"Norway lobster";"Nephrops norvegicus";"ICES";;"NEP";"03A.,04-N.,2AC4-C";"3a, 4 and 2a Union waters";"27_2_A,27_3_A,27_4";"IIIa) and EU waters of IIIbcd";"FIDES match";;
"North Sea and Eastern Arctic";"Northern shrimp";"Pandalus borealis";"ICES";;"PRA";"03A.,2AC4-C";"3a, 4 and 2a Union waters";"27_3_A,27_4,27_2_A";"IIIa)";"FIDES match";;
"North Sea and Eastern Arctic";"Northern shrimp";"Pandalus borealis";"ICES";;"PRA";"4N-S62";"4 Norwegian waters south of 62N";"27_4";"EC waters of IIa) and IV";"FIDES match";;
"North Sea and Eastern Arctic";"Common scallop";"Pecten maximus";"ICES";;"SCE";"No TAC";"4, 7d";"27_4,27_7_D";;;;
"North Sea and Eastern Arctic";"Greater Forkbeard";"Phycis blennoides";"ICES";;"GFB";"No TAC";4;"27_4";"EU and international waters of I-II,  III and IV";;;
"North Sea and Eastern Arctic";"Forkbeard";"Phycis phycis";"ICES";;"FOR";"No TAC";4;"27_4";;;;
"North Sea and Eastern Arctic";"Flounder";"Platichthys flesus";"ICES";;"FLE";"No TAC";4;"27_4";"EC waters of IIa) and IV";;;
"North Sea and Eastern Arctic";"Plaice";"Pleuronectes platessa";"ICES";;"PLE";"03AN.";"3aN";"27_3_A_20";"Skagerrak (Division IIIa), Kattegat (Division IIIa)";"FIDES match";;
"North Sea and Eastern Arctic";"Plaice";"Pleuronectes platessa";"ICES";;"PLE";"03AS.";"3aS";"27_3_A_21";;"FIDES match";;
"North Sea and Eastern Arctic";"Plaice";"Pleuronectes platessa";"ICES";;"PLE";"2A3AX4,7DE.";"4, 7d";"27_4,27_7_D";"IV,  EC waters of Iia,   that part of IIIa not covered by the Skagerrak and the Kattegat";"FIDES match but difference with area";;" "
"North Sea and Eastern Arctic";"Saithe";"Pollachius virens";"ICES";;"POK";"2C3A4";"3a, 4";"27_3_A,27_4";"EU waters of IV and in IIIa";"FIDES match but difference with area";;
"North Sea and Eastern Arctic";"Turbot";"Scophthalmus maximus";"ICES";;"TUR";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"EC waters of IIa) and IV";;;
"North Sea and Eastern Arctic";"Blonde ray";"Raja brachyura";"ICES";;"RJH";"07D.,2AC4-C";"4a, 4c, 7d";"27_4_A,27_4_C,27_7_D";;"FIDES match";;
"North Sea and Eastern Arctic";"Thornback ray";"Raja clavata";"ICES";;"RJC";"07D.,2AC4-C,03A-C";"3a, 4, 7d";"27_3_A,27_4,27_7_D";;"FIDES match but difference with area";;
"North Sea and Eastern Arctic";"Small-eyed ray";"Raja microocellata";"ICES";;"RJE";"07D.";"7d";"27_7_D";;"FIDES match";;
"North Sea and Eastern Arctic";"Spotted ray";"Raja montagui";"ICES";;"RJM";"07D.,03A-C.,2AC4-C";"3a, 4, 7d";"27_3_A,27_4,27_7_D";;"FIDES match but difference with area";;
"North Sea and Eastern Arctic";"Undulate ray";"Raja undulata";"ICES";;"RJU";"07DE.";"7d";"27_7_D";;"FIDES match";;
"North Sea and Eastern Arctic";"All skates and rays";"Rajidae";"ICES";;"SRX";"03A-C";"3a";"27_3_A";"to be coded as all other rays in the script";"FIDES code for area 3a-c";;
"North Sea and Eastern Arctic";"All skates and rays";"Rajidae";"ICES";;"SRX";"2AC4-C";"2a, 4";"27_2_A,27_4";"to be coded as all other rays in the script";"Extra row and FIDES code stands for rays not elsewhere reported";;
"North Sea and Eastern Arctic";"All skates and rays";"Rajidae";"ICES";;"SRX";"07D.";"7d";"27_7_D";"to be coded as all other rays in the script";"Extra row and FIDES code stands for rays not elsewhere reported";;
"North Sea and Eastern Arctic";"Greenland halibut";"Reinhardtius hippoglossoides";"ICES";;"GHL";"2A-C46";4;"27_4";"EU waters of IIa and IV,   EU and international waters of Vb and VI";"FIDES match but difference with area";;
"North Sea and Eastern Arctic";"Salmon";"Salmo salar";"ICES";;"SAL";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";;;;
"North Sea and Eastern Arctic";"Sea trout";"Salmo trutta";"ICES";;"TRS";"No TAC";"3a, 4, 7d";"27_3_A,27_4,27_7_D";;;;
"North Sea and Eastern Arctic";"Mackerel";"Scomber scombrus";"ICES";;"MAC";"2A34.";"3a, 4, 7d";"27_3_A,27_4,27_7_D";"IVa) (1), IVb) (1),IVc) (1)";"FIDES match but difference with area";;
